Product_Title,Price,Shop,Category_Id
GIGABYTE GEFORCE GTX 1050 TI WINDFORCE OC 4GB DDR5 GRAPHICS CARD, 18000,COMPUTER VILLAGE,1
GIGABYTE GEFORCE GTX 1650 WINDFORCE OC 4GB DDR5 GRAPHICS CARD, 18500,COMPUTER VILLAGE,1
GIGABYTE GTX 1050TI G1 GAMING 4GB DDR5 GRAPHICS CARD, 18600,COMPUTER VILLAGE,1
GIGABYTE RADEON RX 580 GAMING 8GB DDR5 MI GRAPHICS CARD, 20000,COMPUTER VILLAGE,1
GIGABYTE GEFORCE GTX 1650 GAMING OC 4GB DDR5 GRAPHICS CARD, 21000,COMPUTER VILLAGE,1
GIGABYTE GeForce RTX 2060 SUPER WINDFORCE OC 8G Graphics Card,42500 ,TECHLAND,1
GIGABYTE GEFORCE RTX 2070 SUPER WINDFORCE OC 3X 8GB GRAPHICS CARD,53500,STARTECH,1
GIGABYTE AORUS GEFORCE RTX 2070 8G GDDR6 GRAPHICS CARD,61000,STARTECH,1
GIGABYTE AORUS GEFORCE RTX 2070 XTREME 8GB GDDR6 GRAPHICS CARD,63000,STARTECH,1
GIGABYTE GEFORCE RTX 2080 WINDFORCE OC 8G GDDR6 GRAPHICS CARD,78000,STARTECH,1
GIGABYTE AORUS GEFORCE RTX 2080 SUPER 8GB GRAPHICS CARD,82500,STARTECH,1
GIGABYTE GEFORCE GTX 1660 OC 6GB DDR5 GRAPHICS CARD, 23000,COMPUTER VILLAGE,1
GIGABYTE GEFORCE GTX 1660 GAMING 6GB DDR5 GRAPHICS CARD, 25500,COMPUTER VILLAGE,1
GIGABYTE GEFORCE GTX 1660 GAMING OC 6GB GDDR5 GRAPHICS CARD, 29000,COMPUTER VILLAGE,1
GIGABYTE AMD RADEON RX570 AORUS 4GB DDR5 GRAPHICS CARD, 28800,COMPUTER VILLAGE,1
GIGABYTE GEFORCE GTX 1660 TI OC 6GB DDR6 GRAPHICS CARD, 29500,COMPUTER VILLAGE,1
GIGABYTE GEFORCE GTX 1660 TI WINDFORCE OC 6GB DDR6 GRAPHICS CARD, 30500,COMPUTER VILLAGE,1
GIGABYTE GEFORCE GTX 1660 TI GAMING OC 6GB DDR6 GRAPHICS CARD, 31500,COMPUTER VILLAGE,1
GIGABYTE AORUS RADEON RX 580 8G 8GB GDDR5 GRAPHICS CARD, 34000,COMPUTER VILLAGE,1
GIGABYTE RADEON RX 570 GAMING 8G MI GDDR5 GRAPHICS CARD,13900,STARTECH,1
GIGABYTE GeForce RTX 2080 SUPER GAMING OC 8G Graphics Card,77000 ,TECHLAND,1
